0,4,0,0,0,0,1,0
0,4,0,0,0,0,1,0
0,4,0,1,0,0,1,0
0,2,0,3,0,0,2,0
0,2,0,2,0,0,3,0
0,2,0,3,1,0,4,0
0,2,0,2,2,0,4,0
0,2,0,2,2,0,4,0
0,2,0,3,2,0,4,0
0,2,0,3,2,0,4,0
0,2,0,4,2,0,4,0
0,2,0,5,2,0,4,0
0,2,0,5,2,0,4,0
0,2,0,5,2,0,4,0
0,2,0,5,2,0,4,0
0,2,0,5,2,0,4,0
0,2,0,5,2,0,4,0
0,0,0,5,2,0,0,0
0,0,0,5,2,0,0,0
0,0,0,5,2,0,0,0
0,0,0,5,2,0,0,0
0,0,0,5,0,0,0,0
0,0,0,5,0,0,0,0
0,0,0,5,0,0,0,0
0,0,0,5,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,8,1,0,3,2
0,2,0,8,1,0,3,1
0,2,0,8,1,1,5,1
0,9,0,10,1,1,5,1
0,17,1,10,3,1,6,1
0,17,1,5,3,1,3,2
0,21,0,5,5,1,3,2
0,23,0,5,5,1,4,2
0,32,0,7,5,2,4,2
0,42,0,7,5,2,8,3
0,49,1,10,5,2,11,5
0,59,1,12,7,3,14,8
0,59,1,12,7,3,14,8
1,86,1,27,13,5,28,13
1,106,1,38,16,5,41,16
1,128,1,53,17,6,49,16
2,165,1,60,26,7,63,27
2,202,1,70,26,7,86,30
3,258,1,86,34,10,113,34
4,298,1,136,39,7,113,51
6,343,3,176,47,7,113,63
9,426,3,213,64,13,221,89
19,659,5,251,97,19,285,119
32,659,5,311,131,25,285,139
39,807,6,389,167,25,314,174
39,1018,6,435,164,33,369,173
52,1208,12,484,229,44,368,228
61,1394,12,546,251,44,400,228
69,1605,15,616,281,57,491,248
75,1779,15,646,293,61,574,281
75,2020,15,679,299,61,626,312
76,2020,17,733,331,63,622,321
75,2169,19,771,361,62,621,342
75,2284,21,823,361,65,609,334
72,2373,22,861,350,67,602,306
73,2477,25,888,361,73,580,342
66,2560,26,895,361,75,554,358
54,2615,26,744,358,58,528,294
54,2661,26,757,357,61,560,294
57,2709,26,766,360,69,580,313
51,2748,26,604,297,60,480,319
42,2796,26,589,246,70,302,297
42,2830,26,597,247,81,325,292
42,2829,26,606,246,80,328,292
41,2834,26,610,246,91,341,295
29,2841,22,551,189,106,159,270
28,2857,22,552,189,106,167,270
18,2868,22,554,150,96,148,188
19,1521,19,560,100,106,129,194
12,1531,19,271,100,114,133,197
12,1552,19,275,100,121,142,198
10,1558,16,275,62,122,119,103
9,1188,13,280,57,120,120,96
8,1019,12,280,46,121,79,88
8,939,12,282,40,108,70,81
5,893,8,282,33,92,73,76
5,768,5,217,32,80,68,63
4,760,5,98,23,78,67,55
3,743,5,101,20,71,52,55
2,711,3,94,14,70,49,47
2,692,3,84,14,63,52,36
0,691,3,79,14,55,53,36
0,696,3,63,12,51,53,32
0,687,5,53,7,50,66,23
0,663,5,52,7,44,88,19
1,643,5,57,7,43,94,14
1,580,3,52,5,47,101,14
1,537,2,50,2,46,114,14
1,517,2,45,2,40,122,9
1,503,2,20,2,39,123,9
0,505,2,20,2,32,133,7
0,492,2,18,1,32,132,7
0,466,2,18,1,32,133,8
0,443,2,18,1,30,111,7
0,423,2,15,1,30,118,5
0,421,2,17,1,26,115,5
0,418,2,13,0,24,116,5
0,419,2,12,0,23,123,3
0,418,2,13,0,21,107,2
0,418,2,12,0,20,101,3
0,403,2,12,0,20,101,3
0,387,0,12,0,19,90,3
0,388,0,12,0,17,96,3
0,385,0,13,0,16,96,3
0,386,0,14,0,16,86,2
0,386,0,12,0,15,66,2
0,383,0,12,0,13,58,6
0,378,0,7,1,12,66,12
0,372,0,6,1,12,65,12
0,378,0,6,1,12,71,18
0,361,0,6,1,10,73,25
0,362,0,5,1,9,73,25
0,365,0,5,1,8,74,28
0,369,0,5,1,8,81,29
0,365,0,6,1,7,82,30
0,358,0,8,1,7,90,26
0,348,0,5,0,7,76,26
0,343,0,6,0,7,76,30
1,338,0,5,0,6,73,31
1,340,0,6,0,6,73,31
1,337,0,5,0,6,66,30
1,334,0,5,0,6,56,30
1,331,0,6,0,6,59,21
1,324,0,7,0,3,52,18
1,308,0,8,0,2,52,18
1,314,0,8,0,2,44,11
1,317,0,8,0,2,52,2
1,318,0,8,0,2,58,2
0,317,0,8,0,2,79,1
0,319,0,8,0,0,83,2
0,325,0,7,0,0,95,2
0,325,0,7,0,0,93,3
0,330,0,7,0,0,123,3
0,332,0,7,0,0,127,3
0,331,0,7,0,0,133,4
0,340,0,7,0,0,143,4
0,337,0,6,0,0,176,4
0,337,0,7,0,0,185,4
0,341,0,7,0,0,185,4
0,344,0,7,0,0,233,5
0,351,0,7,0,0,290,5
0,356,0,7,3,0,323,4
0,367,0,7,3,0,395,4
